date,sender,text
2024-08-20,Parkerberg,Hi mate we need transport to Brno 15to again for tomorrow. Greetings :)
2024-08-20,Heberttown,Dear Mr Transportmanager can you send a truck with 17 tons for tomorrow Prague? Many thanks!
2024-08-20,Jones and Sons,Hello we need load of 16 tons in warsaw. Please deliver tomorrow.
2024-08-20,Atlas Haulers, Hi when can you unload which time? regards
2024-08-20,Whitney-Moss,Good day sir we have demand of a new shipment here in Leipzig :) Please send 8 tons. Best regards!
2024-08-20,Thompson, Curry and Sanchez, Hi pls bring 6to to hanover from you depot.
2024-08-20,Johnson-Owens,Please arrange a delivery to Dresden 19to tomorrow.
2024-08-20,Perez,Barron and Dixon,Please send shipmnt tomoro to frankfurt 13t. pls confirm.
2024-08-20,Nebula Freight Systems,Hi can you say me where shipment is currently?
2024-08-20,Silva,Hall and Walker,Kindly ensure the delievery to Paris with 6t for tomorrow. 
2024-08-20,Brown-Esparza,We urgently require a shipment of 7 tons to be delivered to Vienna. Please confirm availability. Best regard 
2024-08-20,Martin-Davis,Please send 12t of goods to Zurich as soon as possible. Much thanks!Best regards
2024-08-20,Glover-Richardson,We need a delivery to Bratislava of 9 tons. Kindly ensure it arrives by tomorrow. Sincerely
2024-08-20,Phoenix Haulage,Where is truck?
2024-08-20,Clark,Brooks and Young,Could you arrange for 10 tons to be delivered to Nuremberg? We would appreciate confirmation of dispatch.
2024-08-20,Howell PLC,Can you pls send 4 tons to Hambrg? We need it fast. thx!
2024-08-20,Braun-Walker,Hello Pls deliver 12t to Rom by tomorrow. Confirm.
2024-08-20,Smith-Henson,Send 4tons to Budapest asap. Need it soon.
2024-08-20,Carpenter,Gonzalez and Perez,Pls send 10t to Geneva tomorrow. Urgent!!
2024-08-20,Williams-Porter,Deliver stuttgart 5tons tomorw.
2024-08-20,Henry LLC,Plz arrange shipmnt to Innsbruck 4t tomrrow.
2024-08-20,Charles Ltd.,We need 3 ton to Marseille. Send it quick.
2024-08-20,Paulsen-James LLC,We require a shipment of 5 tons to Turin. Make sure it gets there by Thursday. Pls confirm. Cheers

